[2026-05-10 00:00:03][start] CRON started
[2026-05-10 00:00:03][info] Processing account:  (ID: 406)
[2026-05-10 00:00:08][info] Processing account:  (ID: 407)
[2026-05-10 00:00:14][info] Processing account: poundplus_81 (ID: 408)
[2026-05-10 00:00:19][info] Processing account: ecompanyltd (ID: 411)
[2026-05-10 00:00:25][info] Processing account: digital_outlet39 (ID: 413)
[2026-05-10 00:00:31][info] Processing account: rehkh_5402 (ID: 414)
[2026-05-10 00:00:36][info] Processing account: fark-933 (ID: 415)
[2026-05-10 00:00:42][info] Processing account: saraf-76 (ID: 419)
[2026-05-10 00:00:47][info] Processing account: firstsale4u (ID: 420)
[2026-05-10 00:00:52][info] Processing account: goodmove4u (ID: 421)
[2026-05-10 00:00:58][info] Processing account: london_hotdeals (ID: 422)
[2026-05-10 00:01:03][info] Processing account: d.sport87 (ID: 425)
[2026-05-10 00:01:09][info] Processing account: mian.bazzar (ID: 426)
[2026-05-10 00:01:14][info] Processing account: ma2025 (ID: 427)
[2026-05-10 00:01:19][info] Processing account: mian_communication (ID: 428)
[2026-05-10 00:01:25][info] Processing account: tradeworld.nw.ltd (ID: 429)
[2026-05-10 00:01:31][info] Processing account: biak3456 (ID: 430)
[2026-05-10 00:01:36][info] Processing account: gibb3265 (ID: 431)
[2026-05-10 00:01:42][info] Processing account: rakha-7863 (ID: 432)
[2026-05-10 00:01:47][info] Processing account: dropshop-uk (ID: 433)
[2026-05-10 00:01:53][info] Processing account: danamu_ppayc68 (ID: 434)
[2026-05-10 00:01:58][info] Processing account: burj-khlifa (ID: 435)
[2026-05-10 00:02:03][info] Processing account: zeemi_24 (ID: 436)
[2026-05-10 00:02:09][info] Processing account: digital-life-digimax (ID: 438)
[2026-05-10 00:02:14][info] Processing account: giant_emart (ID: 439)
[2026-05-10 00:02:19][info] Processing account: qadri (ID: 440)
[2026-05-10 00:02:25][info] Processing account: buyer_satisfied (ID: 441)
[2026-05-10 00:02:31][info] Processing account: daltacell (ID: 442)
[2026-05-10 00:02:36][info] Processing account: zona8033 (ID: 443)
[2026-05-10 00:02:41][info] Processing account: iqqa1951 (ID: 444)
[2026-05-10 00:02:47][info] Processing account: impalaa_online (ID: 445)
[2026-05-10 00:02:52][info] Processing account: muhammni_12 (ID: 446)
[2026-05-10 00:02:58][info] Processing account: excelsior2019 (ID: 447)
[2026-05-10 00:03:03][info] Processing account: onestop.stores (ID: 448)
[2026-05-10 00:03:09][info] Processing account: sabuk786 (ID: 450)
[2026-05-10 00:03:14][info] Processing account: savum-46 (ID: 451)
[2026-05-10 00:03:19][info] Processing account: em-909137 (ID: 453)
[2026-05-10 00:03:25][info] Processing account: shuash98 (ID: 455)
[2026-05-10 00:03:30][info] Processing account: oxijanltd (ID: 457)
[2026-05-10 00:03:36][info] Processing account: sfk_brand (ID: 489)
[2026-05-10 00:03:41][info] Processing account: ad_264942 (ID: 491)
[2026-05-10 00:03:47][info] Processing account: moneymaker-181 (ID: 495)
[2026-05-10 00:03:52][info] Processing account: ecom-hub33 (ID: 496)
[2026-05-10 00:03:57][info] Processing account: c_bird33 (ID: 500)
[2026-05-10 00:04:03][info] Processing account: urbanbuyz_99 (ID: 501)
[2026-05-10 00:04:08][info] Processing account: farmi94 (ID: 503)
[2026-05-10 00:04:14][info] Processing account: fashionhub-72 (ID: 509)
[2026-05-10 00:04:19][info] Processing account: tracker_world (ID: 512)
[2026-05-10 00:04:24][info] Processing account: hamrehzar_supplies (ID: 513)
[2026-05-10 00:04:30][info] Processing account: mbimed-0 (ID: 515)
[2026-05-10 00:04:35][info] Processing account: dropshop-99 (ID: 522)
[2026-05-10 00:04:41][info] Processing account: trusted_deals_hub-56 (ID: 525)
[2026-05-10 00:04:46][info] Processing account: leaders_alpha (ID: 526)
[2026-05-10 00:04:52][info] Processing account: superspeed3_77 (ID: 527)
[2026-05-10 00:04:57][info] Processing account: trusted_329 (ID: 528)
[2026-05-10 00:05:03][info] Processing account: prince.si95 (ID: 530)
[2026-05-10 00:05:08][info] Processing account: enoyl1 (ID: 532)
[2026-05-10 00:05:13][info] Processing account: fullers_earth (ID: 533)
[2026-05-10 00:05:19][info] Processing account: mirzatraders7 (ID: 534)
[2026-05-10 00:40:03][start] CRON started
[2026-05-10 00:40:03][info] Processing account:  (ID: 406)
[2026-05-10 00:40:08][info] Processing account:  (ID: 407)
[2026-05-10 00:40:14][info] Processing account: poundplus_81 (ID: 408)
[2026-05-10 00:40:19][info] Processing account: ecompanyltd (ID: 411)
[2026-05-10 00:40:25][info] Processing account: digital_outlet39 (ID: 413)
[2026-05-10 00:40:30][info] Processing account: rehkh_5402 (ID: 414)
